67;LIC. MARIA JULIA AYALA CONTRERAS;DIRECTORA DE CONTROL INTERNO Y DESARROLLO INSTITUCIONAL;julia.ayala@institucion.test;6621830650
56;ADELA DOMÍNGUEZ REYES;DIRECTOR GENERAL DEL CONSEJO SONORENSE REGULADOR DEL BACANORA;adela.dominguez@institucion.test;
56;FRANCISCA DIAZ BROWN;DIRECTORA DE ADMINISTRACIÓN Y FINANZAS;francisca.diaz@institucion.test;6621410914
56;JESUS TADEO YEPIZ ALVAREZ;DIRECTOR DE PROYECTOS;jesus.yepiz@institucion.test;6623000539
52;FLORENTINO VALENCIA SAMANIEGO;"DIRECTOR GENERAL DEL CENTRO DE EVALUACIÓN, CONTROL Y CONFIANZA";fvalencia@institucion.test;6621083370
19;ING. DANIRA MARTÍNEZ;DIRECTORA DE PROYECTOS DE LA CEA;danira.martinez@institucion.test;
19;JOSÉ LUIS JARDINES MORENO;VOCAL EJECUTIVO DE LA COMISIóN ESTATAL DEL AGUA;jose.jardines@institucion.test;6624708596
19;LAE BERNABÉ VILLALBA ROMO;SECRETARIO PARTICULAR;bernabe.villalba@institucion.test;6622561193
72;JOSE PABLO RUBIO FIERROS;"COORDINADOR EJECUTIVO DE LA COMISIóN ESTATAL DE BIENES Y CONCESIONES, Y DIRECTOR GENERAL DE PROGRESO";jose.rubio@institucion.test;6622333568
72;ROCÍO DEL CARMEN ORTIZ RODRÍGUEZ;ASISTENTE DE COORDINACIóN EJECUTIVA;coordinacion.cebyc@institucion.test;6624685637
21;CARLOS ERNESTO ZATARAIN GONZÁLEZ;COORDINADOR GENERAL DEL CONSEJO ESTATAL DE CONCERTACIóN PARA LA OBRA PúBLICA;carlos.zatarain@institucion.test;5540543383
